Date,Open,High,Low,Close,Volume
2012-07-13,133.88,135.89,133.84,135.75,27430911
2012-07-16,135.42,135.83,134.9,135.39,18594978
2012-07-17,136.01,136.63,134.56,136.36,28547712
2012-07-18,136.02,137.64,135.96,137.41,24065894
2012-07-19,137.63,138.18,137.21,137.74,25829058
2012-07-20,136.98,137.16,136.32,136.47,27973940
2012-07-23,134.45,135.46,133.85,135.09,30475138
2012-07-24,135.2,135.24,133.04,134.03,37032442
2012-07-25,134.26,134.56,133.26,133.95,27767098
2012-07-26,135.91,136.46,135.26,136.17,33011129
2012-07-27,136.91,139.07,136.66,138.8,46734581
2012-07-30,138.57,139.33,138.27,138.68,20502889
2012-07-31,138.51,138.87,137.71,137.71,22563632
2012-08-01,138.72,138.72,137.4,137.59,28345389
2012-08-02,136.54,137.57,135.59,136.64,40290603
2012-08-03,138.6,139.63,138.5,139.39,33466049
2012-08-06,139.7,140.16,139.56,139.62,20989925
2012-08-07,140.2,140.91,140.15,140.32,19032269
2012-08-08,139.82,140.64,139.81,140.49,16627597
2012-08-09,140.3,140.88,140.15,140.63,16488684
2012-08-10,140.07,140.89,139.81,140.84,18724574
2012-08-13,140.6,140.84,140.04,140.77,18456912
2012-08-14,141.28,141.38,140.37,140.79,19130889
2012-08-15,140.64,141.19,140.55,140.95,14261624
2012-08-16,141.09,142.16,140.8,142.01,21476293
2012-08-17,142.25,142.3,141.86,142.22,19903962
2012-08-20,142.01,142.22,141.6,142.22,13712093
2012-08-21,142.52,143.09,141.46,141.76,17889256
2012-08-22,141.38,142.05,141.08,141.82,19786628
2012-08-23,141.45,141.48,140.44,140.68,24270285
2012-08-24,140.3,141.8,140.22,141.52,21488373
2012-08-27,141.9,142.07,141.34,141.54,13317716
2012-08-28,141.17,141.84,140.97,141.4,12807197
2012-08-29,141.48,141.89,141.12,141.51,12048491
2012-08-30,140.9,140.94,140.19,140.49,17392005
2012-08-31,141.32,141.82,140.36,141.24,32923699
2012-09-04,141.09,141.46,140.14,140.87,21273003
2012-09-05,141.1,141.47,140.63,140.94,21413618
2012-09-06,141.79,143.78,141.77,143.78,34287061
2012-09-07,144.02,144.39,143.89,144.39,25282560
2012-09-10,144.21,144.44,143.46,143.51,19563356
2012-09-11,143.63,144.37,143.56,143.89,17302539
2012-09-12,144.38,144.55,143.9,144.39,17572275
2012-09-13,144.33,147.04,144.15,146.7,39991495
2012-09-14,146.89,148.11,146.76,147.24,37078709
2012-09-17,146.95,147.19,146.37,146.74,24098639
2012-09-18,146.53,146.81,146.25,146.62,16377063
2012-09-19,146.76,147.17,146.42,146.74,19513664
2012-09-20,146.0,146.79,145.63,146.75,28342817
2012-09-21,146.64,146.67,145.81,145.89,22032830
2012-09-24,145.16,145.97,145.05,145.59,19559889
2012-09-25,145.96,146.24,144.06,144.19,28615848
2012-09-26,144.11,144.11,142.96,143.29,24683682
2012-09-27,143.88,144.96,143.51,144.72,23886298
2012-09-28,144.01,144.55,143.46,143.93,33208164
2012-10-01,144.5,145.69,144.02,144.24,26827626
2012-10-02,144.9,145.15,143.83,144.5,21427702
2012-10-03,144.88,145.43,144.13,145.07,27087142
2012-10-04,145.63,146.34,145.45,146.27,25849467
2012-10-05,146.92,147.15,145.7,146.13,31081729
2012-10-08,145.58,145.88,145.32,145.66,15184531
2012-10-09,145.52,145.65,144.15,144.25,25467324
2012-10-10,144.2,144.32,143.09,143.28,25112154
2012-10-11,144.28,144.49,143.36,143.36,24517734
2012-10-12,143.44,143.94,142.58,142.84,26653928
2012-10-15,143.23,144.22,142.78,144.01,28252267
2012-10-16,144.76,145.64,144.66,145.58,21788627
2012-10-17,145.63,146.32,145.42,146.16,30726022
2012-10-18,145.85,146.52,145.33,145.86,30400818
2012-10-19,145.5,145.53,143.06,143.3,40060523
2012-10-22,143.2,143.67,142.28,143.41,30707606
2012-10-23,141.88,142.05,140.83,141.35,38390439
2012-10-24,141.94,142.1,140.8,141.05,26051415
2012-10-25,142.07,142.27,140.58,141.43,31793925
2012-10-26,141.32,141.84,140.4,141.35,30288899
2012-10-31,141.84,142.03,140.68,141.18,30514720
2012-11-01,141.66,143.0,141.52,142.91,23044145
2012-11-02,143.72,143.72,141.42,141.56,30831270
2012-11-05,141.37,142.17,140.93,141.9,23758808
2012-11-06,142.27,143.52,142.14,142.93,23153685
2012-11-07,141.65,141.67,139.07,139.78,58547682
2012-11-08,139.72,140.41,137.93,137.95,40343790
2012-11-09,137.61,139.44,137.56,138.16,48125825
2012-11-12,138.55,138.8,137.97,138.24,20138213
2012-11-13,137.52,139.25,137.37,137.8,27218569
2012-11-14,138.21,138.43,135.62,135.98,41220444
2012-11-15,135.95,136.49,135.18,135.7,41608809
2012-11-16,135.92,136.64,134.7,136.35,53687242
2012-11-19,137.92,139.15,137.82,139.15,30135006
2012-11-20,138.89,139.41,138.08,139.28,27546707
2012-11-21,139.31,139.57,139.03,139.45,81710736
2012-11-23,140.13,141.4,140.04,141.35,65409145
2012-11-26,140.65,141.36,140.19,141.05,100124325
2012-11-27,140.91,141.39,140.24,140.33,128646177
2012-11-28,139.76,141.54,139.0,141.46,177086443
2012-11-29,141.99,142.51,141.37,142.12,151085880
2012-11-30,142.14,142.42,141.66,142.16,136568288
2012-12-03,142.8,142.92,141.34,141.45,124656283
