Name,Symbol,Last price,Change,Mkt cap,Volume,Open,High,Low
Tata Elxsi Limited,TATAELXSI,1734.05,34.85,54074.79,280500,1707,1739,1699.55
Capital First Ltd,CAPF,792.00,13.95,77383.62,551771,779.5,798.9,779
Granules India Ltd,GRANULES,132.45,0.80,30224.57,406133,131.9,133.15,131.45
Bata India Ltd,BATAINDIA,640.05,8.70,82179.44,1085338,633,644.3,633
Balaji Telefilms Limited (Parent),BALAJITELE,164.00,-3.55,12367.71,586827,168.9,171.9,163.25
Manappuram Finance Ltd,MANAPPURAM,106.25,3.45,89196.84,8098109,103.2,106.7,103.05
Idea Cellular Ltd,IDEA,93.10,0.40,335055.67,4899324,92.8,94.25,92.75
Welspun Corp Ltd,WELCORP,131.00,1.10,34771.39,638463,130.7,132.6,126.15
Icici Prudential Life Insurance Comp Ltd,ICICIPRULI,437.60,-1.30,627921.67,474686,439.25,442.3,436
Century Plyboards India Ltd,CENTURYPLY,267.00,6.25,59354.34,591689,262.85,271.45,262.85
NTPC Limited,NTPC,174.25,-3.10,1439613.14,3630569,177.3,179.15,173.8
Balmer Lawrie and Company Ltd,BALMLAWRIE,251.90,5.35,28555.10,56851,247.9,252,246.55
Interglobe Aviation Ltd,INDIGO,1287.00,11.00,465378.29,332341,1283,1298.5,1262.35
